Column1,stop_remove,label
0, casi 300 pasaporte mascarilla covid19 covid 19 covid 19 coronavirus covid vacuna vaccine pfizer janssen moderna traselvalle obc omicron contagio positivo vaccination secret4f felizviernesatodos felizfinde diamundialcontraelcancer,netral
1, lakukan menyikapi konfirmasi omicron indonesia waspada hati hati penularannya ir budi gunadi sadikin chfc clu menteri kesehatan rapat terbatas ratas ,netral
2, birylu sih gitu omicron desa ga nyediain tinggal kalo ngontrak,negative
3,divisi kena omicron gw doang alhamdulillah negatif 7 orang kerjaan gw nambah ngeback up ,negative
4,soukor 27k cases semalam bcs of omicron so mustahil malaysia ,negative
5,omicron jangkit pakaian berwarna biru,positive
6,omicron berbahaya penjelasan lengkap eks menkes siti fadilah supari bumame omicron,positive
7,dinkes sulbar galakkan testing cegah masuknya varian omicron,positive
8, musniumar tau drmana omicron mus ,negative
9,street race lokasi diundur pandemi maraknya wabah virus corona varian omicron ,negative
10,insyaa allah lonjakan omicron sdh antisipasi pemerintah dhn monhgo disimak selengkapnya pernyataan presiden jokowi,positive
11,bu yg berwenang yg kendali klo sekolah tutup krn omicron tolong mall yg menimbulkan kerumunan tutup kalo anak sekolah daring donk nongki coffe shop ,negative
12,jadwal bola cancel gara gara omicron jogging sore ujan ,negative
13,terkejut kes 7k ni sbb kkm dah cakap ennnn tgh hdap omicron wave terkawal kkm dah ready so chill bawa bertenang jaga sop ,netral
14,maaf menakuti omicron tahan plastik amp kulit,negative
15, proxima au kyknya gejalany kek omicron,netral
16,dubes ri korea selatan membenarkan pemerintah korea selatan mengeluarkan aturan terkait melonjaknya omicron negeri kimchi warga korea selatan larang berbicara transportasi wajib wfh,positive
17,test antigen mendignose omicron ngehoax ya mus ,negative
18,kirain wfh pabrik mitos 1 orang kena kepret omicron bubar kabeh coek sak kantor e,negative
19, pangyima omicron bu ,netral
20,membatalkan agenda jakarta karna wedi omicron tp galau pengen purbalingga pol mentok ngopi bjong ,negative
21,yak udh kena omicron skrng nambah ga nyium bau sm ngerasain makanan ,negative
22,pernyataan terbaru presiden jokowi terkait covid 19 jokowi lonjakan amp diantisipasi pemerintah dgn kesiapan2 yg dibandingkan tahun2 omicron menular fatality rate nya rendah delta,positive
23,omicron meningkat fatwa mui bolehkan sholat jum at diganti sholat dzuhur baca selengkapnya ,positive
24,cegah omicron anggota tugas dilapangan perketat prokes,positive
25, potatonyu alias yg sakit jg gak ngeh kalo tuh sebenernya kena omicron krn ngerasanya jg kaya flu aja,negative
26,duta ri korea selatan membenarkan omicron mendominasi negara pemerintah korea selatan bekukan kegiatan wajib militer warganya pandemi covid 19 selesai,netral
27,ayo jaga kesehatan virus omicron ,positive
28,omicron gasiee,netral
29,covid 19 indonesia mengalami kenaikan sepekan peningkatan didorong merebaknya penularan varian omicron merahputihcom omicron covid19,negative
30, qaillaasyiqah omicron minder liat beliau ,netral
31,sederet kabar who luhut omicron simak ,netral
32,omicron korea selatan bertambah pemerintah korea selatan larang keras warganya berbicara bus kereta api cepat pekerja kantoran asn korea selatan wajib rumah 100 rumah sakit korea selatan full ,negative
33, personil polsek tambun cegah penyebaran omicron pasar tambun humas polsek tambun ,positive
34, mia kyushu varian omicron kawin varian delta berbahaya bisa2 omicron kawin omygod muncul varian bernama onasib ,negative
35,fakta hoaks paracetamol 500 gram vitamin c vitamin d obatnya omicron ,negative
36, sebelum2024jokowilengser bumame mamah dedeh bintang emon kediri jakarta timur unpad siang bu siti fadilah alhamdulillah omicron masuk indonesia c19 melemah sdh mnjd flu bill gates kecemasan luhut amp ancaman aneh nya sikapi dg senyum,positive
37, dr koko28 yg gimana dok omicron sdang loh ntr rakyat yg disalahi ,negative
38, asyooong23 delayed reaction don t tell me tinamaan kang omicron sa boracay,netral
39, geloraco goubloug akut omicron melanda mayoritas dunia indonesia wawasannya srmpit ,negative
40,pakar kelompok rentan terinfeksi covid 19 omicron,negative
41, tetepfrontal ok sip makasih penjelasannya krn data eropa sih yg meninggal krn varian omicron 0 06 dr 155 150 2021 2022 austria siprus estonia finland ireland italy liechtenstein luxembourg malta norway poland portugal romania slovakia sweden ,netral
42,varian omicron menyebar cepat gejala ringan,negative
43, musniumar alhamdulillah wasyukurillah aamiin yra sembuh ya ttplah omicron,positive
44,iya efek omicron kak,netral
45, keuangannews id 2 omicron pesanan harun masiku g d kejar lumaya ngulur,netral
46, musniumar tau omicron darimana delta virus wuhan ,negative
47,pasien covid 19 varian omicron isoman rumah syaratnya,negative
48,korea selatan mengalami peningkatan omicron negaranya presiden korea selatan larang keras warganya berbicara arah tranportasi bus kereta api cepat jam operasional toko usaha non esensial persingkat,negative
49,covid cepet banget udah omicron nular berkali2 cepet,negative
50,dokter paru mengungkap alasan gejala covid 19 varian omicron semematikan delta penjelasan selengkapnya bunda ,netral
51,bugar semangat omicron menang link video ,positive
52,bru aja slsai kena gejala omicron lgi coba ,negative
53,gpp omicron pilih2 kerumanan jd kagak ush ,negative
54, musniumar semoga omicron cepet ketemu tantecron sembuh caiyo ,positive
55,webinar penanganan covid 19 omicron kemendes pdtt semoga kesehatan terhindar dr covid 19 jokowi halimiskandarnu malik haramain imansyukri taufikmadjid71 azzameldzikrie tppkemendes kemendesa kpw4jatim mift4hulmunir cak furi1,positive
56,udah kendor petugas gabungan jakpus gelar operasi prokes jakarta protokolkesehatan omicron omicronvariant corona coronavirus covid19 covid rakyatmerdeka rmid,negative
57,varian omicron menyebar cepat gejala ringan,negative
58,bugar semangat omicron menang link video ,positive
59,happy birthday cepiooo sehat hati hati ya unicorn merajalela eh maksudnya omicron bahagia deh ya a fionyjkt48 symfiony blos20mingfiony,positive
60,omicron ittu sa tha bas ,positive
61,varian delta terbitlah varian omicron bikin warga was was gejalanya ditemukan ringan penyebarannya berpotensi cepat dibandingkan delta yuk cek nih melawan omicron ,negative
62,angkatan pertahanan australia terlibat mengelola respons pandemi letnan jenderal bertanggung peluncuran vaksin pasukan pemantauan penguncian wilayah ,netral
63,kemenkes pasien omicron gejala isoman rumah,positive
64,bugar semangat omicron menang link video ,positive
65,varian omicron menyebar cepat gejala ringan,positive
66,antisipasi penyebaran omicron ketua rw 05 bsi lakukan penyemprotan disinfektan ,positive
67, pedeipe musim omicron ngab,positive
68,dah bobo gais headache kayak digebuk stick golf sirah omicron badjigur ,negative
69,omicron udah masuk ruangan gw byuhhh jauh2 deh sampe kena duh wfh nih stay safe everyone ngopi deh asa teu nyambung geura ,netral
70,cegah penyebaran varian omicron patuhi prokes panik waspada kediri kota beriman amanah inovatif kondusif divhumas polri humaspoldajatim polreskotakdr kedirikotabaik polripresisi polreskedirikota,positive
71,jokowi tingginya covid 19 tanah air akibat varian omicron,negative
72, paulus willy virus omicron bentar gue disalahin formula eek ,negative
73,paulus tannos harun masiku kpk tunggu omicron reda,positive
74,kepikiran omicron tp gue ga kemana anjir,positive
75,varian omicron menyebar cepat gejala ringan,positive
76,jokowi pasien terpapar omicron dirawat rs,negative
77,siti fadillah omicron pertanda bagus alasannya ,positive
78,hamil siti badriah positif omicron istri krisjiana baharudin beber gejala dirasakan via tribunmedan,negative
79,mbah mus kabarnya covid omicron ,netral
80,hidup omicron,positive
81,plis ngluyur kemana2 guis omicron lg gila2an also me yaaallah pengen pulkam ,positive
82, aisyahyp27 kalo orang desa wajar musim pancaroba sakit gejalanya kek flu otomatis test takut covid test meningkat grafik omicron ,negative
83, kulupfans khairykj la omicron tu sembur dah kena sembur dah ni kuasa bodoh,negative
84, plumbinq omicron delta pernikahan dilarang ,negative
85, jaallj mohon maaf omicron lg dinaikkan,negative
86,dyandra promosindo strategi rencana cadangan iims 2022 ,netral
87,maaf menakuti omicron tahan plastik kulit,negative
88,yg bilang omicron cuman flu sm demam boong bgt ,negative
89,maaf menakuti omicron tahan plastik amp kulit idcorner,negative
90, 501awani to those ni konspirasi jadah butoh hang mak hang belen this is foreseen cases surged due to omicron tpi jgn risau takde pkp yada2 dah vaccination rate is high take ur booster if possible and follow sop everything will be fine dh benti menggelupur,negative
91,beralih dr covid omicron fans beratnya saudara yg paranoid rehat dr gas mari naikkan levelnya pengen tau nih temen yg paham cern open diskusi yuk 6 6 6,netral
92,mengikuti webinar penanganan covid 19 varian omicron,positive
93,omicron gejala penanganannya halimiskandarnu malik haramain imansyukri taufikmadjid71 kemendespdtt yusradaridesa azzameldzikrie nursaidm nurhamz25186363,netral
94,31 januari 2022 nyokap vaksin booster pfizer kipi pegel tangan aja omicron merajalela ,negative
95,bongkar kebohongan omicron ri eks menkes siti fadilah vaksin booster ,negative
96,cakupan vaksinasi lansia mencapai 74 38 persen ,positive
97,mengikuti arahan menteri webinar penanganan covid 19 varian omicron omicron gejala penanganannya ,positive
98,omicron lanyalla pemerintah ambil langkah konkret via radiomercury96,positive
99, indahutamich huhu iya makasih ndah jaga kesehatan ya omicron jahat bgt huhu ,positive
100,gubernur jawa ganjarpranowo merespons dugaan delapan omicron terdeteksi kabupaten banyumas yut sahabatganjar,netral
101, ponakanneptunus keknya iya angka omicron meningkat ,negative
102,masjid jatiasih ,netral
103,keluarga kena omicron stay safe everyone ,netral
104,bangun optimisme umkm omicron menteri badan usaha milik negara bumn erick thohir mengajak pelaku usaha mikro menengah umkm semangat amp optimistis denganetmerdekaberdaulat,positive
105,update aktif covid 19 3 februari 2022 tembus 27 ribu rekor tertinggi omicron indonesia,netral
106, boilersupplier musniumar omicron kafir mentarget ramadhan biar umat islam dipersulit ibadah ,negative
107,basketan orang ga dikenal gas giliran soljum takut kena omicron astagfirullaaaaaahhhhh,negative
108,pjlp prov dki blm gaji aniesbaswedan keputusan tidaknya blm kabar omicron mengancam jokowi ad kemajuan perfect ,netral
109,penciumanku pulih omicron udah aja,positive
110,kabar menyenangkan dunia hiburan siti badriah hamil 7 dinyatakan terpapar covid 19 varian omicron lihat kondisinya ,positive
111,nak mengundi omicron lut,positive
112,cegah penyebaran omicron ditlantas polda sulsel gencarkan olahraga,positive
113,omicron melonjak perhimpunan guru desak anies hentikan ptm sebulan penuh,negative
114,jujur bgt takut mo depok omicron fase gini,negative
115,krn kondisi omicron bertambah ni kasusnya salah strategi ptfi program sim keliling area tambang ni sgt membantu karyawan ya gaes,positive
116,bekas penjajah indonesia belanda menghimbau warganya perjalanan negeri negara omicron berbahaya kelompok usia memiliki penyakit bawaan komorbid ,netral
117, musniumar gini mus positif covid cepat langsung swab antigen hitungan menit pcr hitungan jam bicara varian omicron butuh pemeriksaan yg namanya whole genome sequencing nggak lab,netral
118,omicron ga bahaya yg bahaya omluhut ehhhh somasi ga ni ,positive
119,omicron indonesia kian meningkat data kemenkes 3 2 2022 3 161 menular terinfeksi omicron ,negative
120,covid 19 jepang meroket wilayah jepang pembatasan covid 19 berupaya menekan penularan omicron mengganas kalangan masyarakat covid19 jepang,positive
121,mestinya teriak pembohoooooooooooong mantan menkes dr siti fadilah supari bill gates aja bu siti fadilah supari bilang omicron ga bahaya jd ga lebaaaay sampe mo tutup masjid utk shalat jum at ,negative
122, rinichan02 aniesbaswedan musniumar dprddki kpk ri positif omicron semoga nda parah,positive
123, anjasmara ferry nikmati aja musniumar terima bansos lantas sok sok an tebar hoax jembatan rubuh corona omicron nyata lho mus mematikan ,negative
124,kenaikan kes dijangka terutamanya disebabkan gelombang omicron cuti perayaan januari februari kesan buruk covid 19 kekal rendah terkawal proses arah pembukaan sektor amp aktiviti ekonomi sosial berjalan lancar ,netral
125,omicron dikenal varian covid 19 menular cepat dibandingkan panduan positif omicron panik ,negative
126, musniumar prof tolong kasih variannya omicron ,positive
127,gila ya omicron cpt bngt gue jd pikiran,negative
128,menteri badan usaha milik negara bumn erick thohir mengajak pelaku usaha mikro menengah umkm bekasi jawa barat semangat optimistis menghadapi situasi denganetmerdekaberdaulat,positive
129,isoman ya kalo omicron gejala,positive
130, musniumar antigen diputuskan covid omicron ,positive
131,mayoritas pasien omicron alami nyeri gatal tenggorokan,negative
132,setuju retweet omicron alhamdulillah welcome omicron omicron imunitas komunitas luas covid 19 flu ngomong bill gates lho siti fadilah siti fadilah ,negative
133,dada sesek badan pegel pegel kirain omicron dipeluk ayang,positive
134,badai omicron mengancam pegawai jaksa kejati jatim divaksin booster,negative
135,jog saran sabtu urusan jakarta tp maju mundur karna omicron gimana ya enaknya separah nggak sih ,negative
136,geus ieu si omicron ,netral
137,covid 19 jepang meroket wilayah jepang pembatasan covid 19 berupaya menekan penularan omicron mengganas kalangan masyarakat covid19 jepang,positive
138, areajulid awaass varian omicron menyebabkan hilang nya akal sehat keadilan ,negative
139, fadlizon pd gak nonton pidato presiden omicron ya dah bilang omicron penyebaranya cepat cepat dr delta seberbahaya delta jd yg positif omicron silahkan karantina mandiri konsumsi vitamin sampe dah mengerti kah fadli ,positive
140, musniumar antigen skr mendeteksi varian omicron ruarr bisaaa cepet sehat ya kangmus ,positive
141,wisata kota batu beroperasi melonjaknya positif covid 19 akibat varian omicron selengkapnya ,negative
142,menyiagakan petugas kesehatan 24 jam memonitor warga terkonfirmasi positif covid 19,positive
143,panik pasien terdampak varian omicron disembuhkan rumah sakit pasien terpapar varian isolasi mandiri rumah minum obat multivitamin tes jaga prokes ya,positive
144,gelombang omicron melanda silap2 lajak p 10k ni,netral
145,pasien rsud moh anwar diduga positif covid 19 varian omicron news sumenep jum at 4 februari 2022 kementerian kesehatan pelacakan masuknya virus covid 19 varian omicron indonesia the post,negative
146,negeri sih rusak budaya sosial moral indonesia omicron berlaku dkijakarta berlaku bandung subang medan berkat cukong eh jokowi eh cukong eh jokowi eh cukong eh jokowi jokowi kspgoid mohmahfudmd markonah 003,negative
147, plumbinq si omicron kawin si delta kawinin pas malem cekek biar mampuss,negative
148, musniumar berdoa maaf tuhan kalo berbuat salam orang nulis medsos kalo kena omicron ,negative
149,omicron melonjak korsel perpanjang pembatasan covid 19 ,negative
150,omicron mengalahkan dunia pendidikan sekolah daring sabar ya le semoga omicron ga cron cron yg pendapatan sesuai yg harapkan virus berhenti ,negative
151,siti badriah menyangka terpapar covid 19 diduga jenis omicron hamil menyalahkan ,negative
152,if malaysia overcome case covid harian yg ribu ribu ni omicron or la and majority cases gejala 1 and 2 isytihar as endemik org takut jugak kot number of cases yg nk 10k ni my2cents,netral
153, musniumar batuk omicron,negative
154,test antigen omicron sekelas rektor ,negative
155,bawa omicron keindonesia dipenjara gak sih ,negative
156, sahabatsig erickthohir mengajak masyarakat menjaga indonesia sehubungan covid 19 omicron meningkat mari taati protokol kesehatan vaksinasi kesehatan kekebalan tubuh tetapwaspada,positive
157,webinar penanganan covid 19 varian omicron virtual tema omicron gejala penanganannya halimiskandarnu kemendespdtt taufikmadjid71 tppkemendes koorprovsumut arjuna16sp,positive
158,gejala dialami pasien covid 19 varian omicron,netral
159,klo yg bilang omicron ringan gejalanya no even udah vaksin 2x ya sembuhnya 7 10harian pokoknya tergantung gejala org udah jaga sehat sehat ,positive
160,badan kesehatan dunia who negara dunia terburu buru kehidupan normal melepas maskernya direktur teknis badan kesehatan dunia who dokter maria van kherkhov omicron berbahaya vaksinasi,netral
161,dilematis pendidikan kesehatan omicron,negative
162, plumbinq lulusan omicron delta ,netral
163,upaya mendukung penegakkan protokol kesehatan memutus mata rantai penyebaran penularan covid 19 omicron bhabinkamtibmas polsek sungai kunjang aipda yan hadinata anggota babinsa koramil sungai kunjang serda mahyuni menggelar operasi yustisi,positive
164,presiden masyarakat tenang kondisi menurutnya varian omicron memiliki tingkat penularan tingkat fatalitasnya rendah dibandingkan varian delta taat prokes teman teman,positive
165,omicron kayak kalo sinus gue kambuh deh,positive
166,fyi guysss taugaksih varian omicron gabs terdeteksi antigen so guys please be safe for your self and each other yaa lg byk bgt yg positive org2 terdekat gue ,positive
167,de tumbas tela tela sing adol yaaa masak sik ya yan no sepi men de sing adol la wis do melbu ng kelas iki yan sepi owalah karo nunggu 5 menit sing adol wis mateng kei varian opo yan bbq balado keju emm varian omicron de,netral
168,antigen omicron ga kedetect kalo antigen ya ayo sehat ihhh ,positive
169,siswa positif covid 19 omicron ppp ptm dihentikan,negative
170, eqbaleq didiskusikan mang gosipnya penonton meningkatnya covid omicron satgas lg galak ,negative
171,covid 19 melonjak varian omicron loh temanmandala lupa jaga kesehatan biar daya tahan tubuh poll ,positive
172,setuju indonesia bangkit nyallakanindonesia lanyalla news omicron,positive
173,varian omicron menular dibandingkan varian delta lantas pasien omicron berisiko menularkan virus ,netral
174,covid omicron ga berani pas natal imlek beraninya pas puasa lebaran jd teraweh ga mudik ga,negative
175,gw sekeluarga omicron i udh sembuh tpi msi kaget ,positive
176, bernandota iya direkturnya udah kasih statement human error krn hasil ketuker ceunah bingung yg gak rame dmn ya omicron lg tinggi2nya hiks,netral
177,siti fadilah keanehan pemerintah ri hadapi varian omicron covid 19,negative
178,jokowi masyarakat tenang terkait 27 ribu corona inanews inanewstv jokowi pandemic corona covid 19 covid omicron beritaterkini berita kutipan 2022,positive
179,meeting onlen bahas omicron besok polytron besoknya megatron,negative
180, tetepfrontal moonfinders5 cnnindonesia meninggal krn omicron krn varian liat datanya ,negative
181,cegah penyebaran varian omicron patuhi prokes panik waspada kediri kota beriman amanah inovatif kondusif divhumas polri humaspoldajatim polreskotakdr kedirikotabaik polripresisi polreskedirikota,positive
182, oposisicerdas rakyat rakyat yg salahkan negeri omicron ganas2nya warga negara asing perbolehkan masuk aja pas romadhon lebaran idul fitri lebaran idul adha ,negative
183,tok pemerintah putuskan ptm 50 persen daerah ppkm level 2 inanews inanewstv ptm covid 19 covid pandemic omicron omicronvariant beritaterkini berita 2022 dailynews,netral
184, geloraco omicron delta delta keok 2x vaksin omicron dibutuhkan booster ,netral
185,antisipasi penyebaran omicron ketua rw 05 bsi lakukan penyemprotan disinfektan,positive
186,sumpaaaaaah ajig covid omicron bangsut,negative
187,omicron ketua dpd ri pemerintah ambil langkah konkret,positive
188, fwbess mari chit cht kalo hang out omicron daun,positive
189,cegah penyebaran varian omicron patuhi prokes panik waspada kediri kota beriman amanah inovatif kondusif divhumas polri humaspoldajatim polreskotakdr kedirikotabaik polripresisi polreskedirikota,positive
190,vaksin masuk omicron kenalah main numbers semangat vaksinasi basi taktik ,netral
191,viral video jokowi bagikan kaos timbulkan kerumunan ganasnya covid 19 tokoh nu welcome omicron repelita online,negative
192,habis cerita lebar tmn penyintas omicron intinya double masker kunci gejala orang beda beda tmnku kena radang tenggorokan dibanding kawannya kena nyeri otot radang tp ga parah ga batuk2 ,netral
193, musniumar antigen dah lihat jenis kopet omicron ,positive
194, musniumar test swab antigen langsung divonis terpapar covid spesifik langsung ketahuan varian omicron yg salah kayaknya nih btw terpapar semoga lekas sembuh ,positive
195,buk waspada omicron ,positive
196,setangkep overthinking yg sm expert imunitas dr infeksi omicron lbh rendah drpd delta bhkn imunitas dr infeksi parah sklpun berkurang drastis dlm bbrp yg menyebabkan merebaknya reinfeksi omicron ,netral
197,cegah penyebaran varian omicron patuhi prokes panik waspada kediri kota beriman amanah inovatif kondusif divhumas polri humaspoldajatim polreskotakdr kedirikotabaik polripresisi polreskedirikota,positive
198, wibowoegy13 puanmaharani ri iya patuh prokes yok guys biar terbebas omicron ,positive
199,yuk merapat yuk tppkemendes omicron gejala penanganannya tppkabpacitan,netral
200,siti badriah terpapar omicron hamil,netral
201,ah takut deh omicron marak banget,negative
202, radenkiansayang qaillaasyiqah hahahaha sdh serius baca bener omicron takut laporkan,negative
203, plumbinq omicron kawin ama delta trus anak nya pokemon digimon,positive
204, paimonfess omicron teyvat nder jaga jarak 100m pembawanya tabibito ngelayap mulu negara gak swab antigen ,negative
205,perpanjangan pembatasan memperlambat penyebaran omicron ,positive
206, kompascom bersemangat promo omicron,positive
207,udah 2 minggu skip workout workout tuk menghindari serangan omicron wkwk,negative
208,pemasangan bener cegah omicron polsek jajaran polres banjarnegara keselamatanhukumtertinggi,positive
209,dibalik keselnya ga kemana kemana rencana gagal patut disyukuri deh kena covidnya omicron delta ga pake nurun nurunin saturasi ,netral
210, khairanixrp ya aneh disaat omicron mafia kebanyakan bahan nya pergi basis massa yg diserbu massa oke lihat sj gw bener warga porsea selamat ,negative
211, kiwlunaa gak pengen liburan omicron rame ,positive
212,omicron gw benci banget lo benciiiii lo apain keluarga gw huh,negative
213,vaksin booster siti fadilah bongkar kebohongan omicron ri,positive
214, musniumar loe omicron tolol omidrun,negative
215, cnnindonesia kalo sekolah si yg libur yg berpotensi ramai emg bener bantu pengurangan omicron kasian anak anak sekolah mahasiswa daring ,netral
216,warga batam ayah anak dievakuasi rumah sakit khusus infeksi rski pulau galang publisherstory,negative
217,omicron melonjak korsel perpanjang pembatasan covid 19 ,positive
218, markonah 003 omicron berlaku kalo momen umat islam lebaran jokowi gitu loh pencitraan,negative
219,tolong hindari ketemu musniumar yg positif omicron ,negative
220, yolfgbrow6969 gada duit gabisa liburan omicron,positive
221, firzahusainid ketemu yg chat hrs swab krn omicron menular udara ,negative
222, dr koko28 kalo pejabat songong yg contoh buruk prokes berani lantang berteriak biar ga dianggap sales omicron ,negative
223, zarazettirazr sirkelnya model gini omicron minder ,positive
224,singapura mengalami lonjakan varian omicron pemerintah singapura mengimbau masyarakat mengikuti protokol kesehatan merayakan imlek pemerintah mengimbau dirayakan virtual ,positive
225,omicron menjangkiti rakyat,negative
226,bermulanya gelombang omicron malaysia marilah bersama2 lindungi amp tersayang langkah2 mitigasi sgt mengambil sikap penjagaan kesihatan pakai mask amalkan triis dapatkan vaksin pickbooster pickids,positive
227, oposisicerdas omicron mengamuk masjid perayaan barongsai klenteng jinak,positive
228,knp skrg pas lg omicron kmrn gue msh smt muda angkanya turun kemana aja km hybrid ,positive
229,ni emang gejala omicron gue,negative
230,omicron ajg,negative
231, marrywhoanna trus smkin bertahan virus yg kmren tuh beda ama yg skrg ga liat ni nularinnya cepet bgt tuh berita byak yg sodorin berita yg kena omicron byk yg sdh vaksin dibantah lgi kl cari berita dr link yg bener donk ,netral
232,laporcovid mengunggah perbedaan gejala varian virus corona omicron gejala flu tren,netral
233,perpanjangan pembatasan memperlambat penyebaran omicron ,positive
234,omicron belom lahir si masiku dah merantau kayak aroma plonga plongo nya ,negative
235, tppkemendes peduli omicron,positive
236, anakkolong musniumar omicron ente kena varian omidrun mus ,netral
237,pemerintah putuskan buka rute penerbangan internasional amp bali jumat 4 2 kenaikan covid 19 negeri yg kemarin sentuh 27 ribu ditengarai akibat penyebaran varian omicron bagus pengpeng tajir amp rakyat tbh sekarat ,negative
238,siti badriah ngaku rumah kecolongan positif omicron sitibadriah,negative
239,si kor kor mandang jabatan untungnya omicron tdk delta laporan omicron bawa kematian menteri esdm kena korona bahlil lahadalia jabat ,netral
240,cegah penyebaran varian omicron patuhi prokes panik waspada kediri kota beriman amanah inovatif kondusif divhumas polri humaspoldajatim polreskotakdr kedirikotabaik polripresisi polreskedirikota,positive
241,cepat menular fakta seputar son of omicron covid19,netral
242,karakteristik omicron dipelajari mendagri publik panik ketatkan prokes pakai masker,positive
243, tppkemendes sukseskannawebiner penaganan covud 19 varian omicron,positive
244,bermulanya gelombang omicron malaysia marilah bersama2 lindungi amp tersayang langkah2 mitigasi sgt mengambil sikap penjagaan kesihatan pakai mask amalkan triis dapatkan vaksin pickbooster pickids,positive
245,vaksin booster siti fadilah bongkar kebohongan omicron ri,netral
246,waspada kenali varian omicron ,positive
247,cegah omicron 5 buah sayur bantu tingkatkan daya tahan tubuh,positive
248, bugar semangat omicrone let s get it done agus bugar semangat omicron menang link video ,positive
249,tingkat kesembuhan pasien omicron covid 19 gejala ringan isoman rumah,positive
250,bgt bali deh duh sebel omicron,negative
251,udah kepikiran makan ramen debora omicron ganas bgt atut,negative
252, ceceplagi omicron ,netral
253,kegiatan street race ditunda omicron meningkat kapolda metro ajak pembalap vaksin booster ,negative
254,waspadai omicron,positive
255,orang klinik pusing aja dibilang omicron darah rendah,netral
256,emang omicron ama delta bentuk tytydnya cemana siy ,netral
257, musniumar sweb ko omicron dasar dosen gemblung,negative
258,jadual kunjungan nakes rumah anak yg guru terpapar omicron layanan kesehatan tangsel patut diacungi jempol terima kasih nakes yg ortunya tdk berani menjenguk ,negative
259,omicron omicron jembot wes kukutono kabeh ae tah pemerintah kontol ,negative
260,menentukan omicron tes paska pcr mutakhir beud alat antigen jaman ikn ,netral
261, d4tukt4mburin flu radang tenggorokan omicron alergi tenggorokan gatel omicron bersin2 hidung mampet ya omicron ,negative
262, oposisicerdas kpk ri mencrettt bnyak cocot gk urusan ama omicron ,negative
263,keselamatan masyarakat pemerintah terapkan ppkm menekan penyebaran covid varian omicron prokes lindungi keluarga,positive
264,keselamatan masyarakat pemerintah terapkan ppkm menekan penyebaran covid varian omicron prokes lindungi keluarga,positive
265, musniumar swab antigen ketahuan omicron musniumar ya dok sridiana 3va ,negative
266,pemerintah menjamin pelayanan kesehatan ketersediaan obat dimasa meningkatnya varian omicron prokes lindungi keluarga,positive
267,pemerintah menjamin pelayanan kesehatan ketersediaan obat dimasa meningkatnya varian omicron prokes lindungi keluarga,positive
268,covid 19 iims diundur covid 19 varian omicron meningkat iims menjadwal ulang gelaran tanggalnya,negative
269,omicron merebak kemenkes pasien positif covid 19 gejala isoman,negative
270,jokowi ngebut motor melintasi danau toba iwan fals kayaknya presiden kecilnya bahagia komen takut omicron,positive
271,kebanyakan masker dijual pasaran kendur peneliti mengakali masker menutupi wajah celah ,positive
272,cegah penyebaran omicron kapolda sumbar ajak masyarakat perkuat 6m,positive
273, musniumar tes antigen langsung tau positif covid varian omicron ,netral
274, cnnindonesia oh melindungi rakyat omicron tawaran stop ptm ditolak ga ngambil pelajaran pandemi 2020 ,negative
275,presiden joko widodo angkat bicara lonjakan virus corona masyarakat tenang jokowi pasien omicron disembuhkan rumah sakit smartnews kompascom,netral
276, chipaxz ga percaya sebulan doang sih wkwk sma kaya corona 2 minggu eh 2 th mna penularan omicron cpt bgtt,negative
277, desiyanti ratna gw kate jg ape beberp minggu bhw tante delta tiba2 menghilang krn sdh dikawin sm omicron jd gak bebas mejeng dimana2 ,negative
278,sobat souja diet membantu membangun kekebalan tubuh pandemi menu diet sehat lawan omicron diterapkan aja check this out gt ,positive
